Name,Idiom,Time Sig,Num Parts,Num Lines
Cha Till McCruimein (MacCrimmon Will Never Return),NA,3_4,4,8
Chailleach Oidhche (The Owl),Reel,4_4,3,3
Champion of the Seas,Hornpipe,2_4,0,6
Changes,NA,4_4,0,9
Changing In The Rain,Hornpipe,2_4,2,6
Chanter's Tune,March,4_4,2,4
Chariots of Fire and Dr. Larry Anderson,Slow Air,2_4,6,11
Chariots of Fire-Seconds,March,NA,0,2
Chariots of Fire,March,4_4,0,4
Chariots of Steel,March,2_4,4,9
Charles Anderson,Jig,6_8,4,10
Charles Edward Hope Vere,March,2_4,4,13
Charlie Lennon's Mazurka,NA,3_4,2,4
Charlie's Welcome,Reel,4_4,1,14
Charlotte MacCrimmon,Hornpipe,2_4,4,9
Charlotte Ryan,Waltz,NA,4,9
Chase the Train,Reel,NA,1,4
"Chase, The",Jig,6_8,8,8
Chasing Shadows,Hornpipe,2_4,4,8
Cherish the Ladies,Jig,6_8,0,10
"Chess Men, The",Hornpipe,2_4,4,8
Chestico Days,NA, C_ ,2,2
Chestnut Tree,NA,4_4,2,4
Chi Mi'n Toman,NA,6_8,0,9
"Chief Superintendent Colin Wood, RHKP",Air, C ,4,8
"Children Of Larbert, The",March,9_8,2,4
"Children's Song, The",March,4_4,2,4
"Children, The",NA,4_4,2,8
"Chopper Man, The",Hornpipe,2_4,2,4
Chris Anderson,Hornpipe,2_4,4,8
Chrissie MacLeod,Strathspey,NA,5,5
"Christiemiller Pipers, The",March,2_4,4,8
Christine O'Donnell,March,2_4,4,10
Christmas Carousin',Reel, C_ ,1,3
Christmas Carousing,Reel,NA,2,3
Christmas in Killarney,NA,4_4,0,5
Christmas Medley Part1,NA,6_8,6,12
Christmas Medley Part2,NA,6_8,5,16
Chrodh Chailein (Colin's Cattle),Slow Air,3_4,2,5
Chumash Cass,March,4_4,0,4
Church Street,Polka,2_4,1,4
"Circassian Circle, The",Hornpipe,2_4,2,4
City of Amsterdam Pipeband,Jig,6_8,4,8
City of Hastings,March,4_4,0,8
City of Winchester Pipes and Drums,March,4_4,1,4
Clan Campbell's Gathering,NA, C ,23,23
"Clan MacColl, The",March,2_4,5,9
"Clan MacRae Society 6-8, The",March,6_8,4,10
"Clan MacRae Society, The",March,2_4,0,12
"Clans, The [Brigadoon]",March,6_8,2,5
Classical Bob,Slow Air,6_8,2,3
"Clattie Cludgie, The",Hornpipe,2_4,2,4
Cleo the Cat,Jig,6_8,2,4
"Cleveland Tie-Break, The",Hornpipe,2_4,4,11
Cliffs of Doneen,Slow Air,6_8,1,2
"Cliffs of Duneen, The",Slow Air,6_8,2,4
"Cliffs of Moher, The",Jig,6_8,0,6
Climb Aboard,March,2_2,4,9
Clocks,NA,2_4,4,9
"Clumsy Lover, The - Last Part",Hornpipe,2_4,1,2
"Clumsy Lover, The Seconds",NA,6_8,4,10
"Clumsy Lover, The",Hornpipe,NA,1,2
Cluny MacPherson's Salute,NA,NA,12,12
Clydeside,Hornpipe,2_4,2,5
"Coachman's Reel, The",Reel,NA,2,2
"Cobblers of Lorn, The",March,4_4,0,4
CoBBPaD Badner Lied,March,4_4,1,4
"Cock o' the North, The",March,6_8,2,5
Cock o' the North,March,6_8,4,10
Cock of the North,March,6_8,4,10
Cock of the Roost,Jig,6_8,0,4
"Cock, Hook and Look",Jig,6_8,4,10
"Cockerel in the Creel, The",Reel,NA,4,8
Cockney Jocks,March,4_4,0,6
Cole B. Moar,Hornpipe,2_4,4,8
Colin MacNab,Strathspey,NA,4,8
Colin McKay,NA,2_4,4,8
Colin Thompson,March,2_4,4,8
Colin's Cattle,March,3_4,2,4
"College of Piping, Glasgow, The",March,2_4,6,12
Colm Hugh Murrer,March,9_8,2,4
Colonel Bogie's March aka Bridge Over River Kwaii,March,4_4,1,3
Colonel Davidson,March,2_4,4,9
Colonel Forbes of Corse,March,4_4,0,4
Colonel Fraser,Reel, C_ ,4,9
Colonel H.H. Burney's Farewell to the Gordon Highlanders,March,2_4,4,8
Colonel James Menzies,March,2_4,4,8
Colonel L.G. Jenks,March,6_8,2,4
Colonel MacDougall of Dunolly's,Reel, C_ ,2,2
Colonel MacLean Of Ardgour,March,2_4,4,8
Colonel MacLeod,Reel,4_4,2,6
Colonel Renison,March,2_4,4,8
Colonel Robertson,March,6_8,3,8
Colonel Sinclair,March,2_4,4,8
Colonel Stuart of Garth,Reel, C_ ,2,3
"Colquhouns' March, The",March,6_8,0,5
Come By The Hills,Slow Air,6_8,1,3
Come Thou Fount of Every Blessing,NA,3_4,1,4
Come Thou Long Expected Jesus,NA,3_4,0,6
"Come, Come Ye Saints",NA,3_4,1,3
Coming Through the Rye,NA,4_4,1,2
Commoner's Reel,Reel, C_ ,2,2
Company's Lament,NA,NA,0,4
Condon's Frolics (1st Setting),Jig,6_8,0,4
Condon's Frolics (2nd Setting),Jig,6_8,0,4
"Congress Jig, The",Jig,6_8,2,4
Congress Reel - Band Setting,Reel,NA,2,4
Congress Reel - Solo Setting,Reel,NA,2,4
"Congress Reel, The",Reel, C_ ,2,4
"Connaught Man's Ramble, The",Jig,6_8,2,4
Conon Bridge,March,2_4,3,9
"Conundrum, The",March,2_4,2,5
"Cook in, The Kitchen, The",Jig,6_8,4,8
Cook's Reel,Reel,NA,2,5
Copperhead Road,NA,3_4,0,3
Coppermill Studio,Jig,9_8,4,4
Coppermill,March,2_4,2,5
Cork Hill,Jig,6_8,4,8
"Cork Hornpipe, The",Hornpipe,2_4,2,4
Corkhill,Jig,6_8,4,8
Corn Riggs are Bonnie,March,2_4,2,5
Corn Rigs Are Bonnie,March,4_4,2,4
"Cornish Pasty Dance, The",March,9_8,4,8
Cornphiopa Ui Dhonnchaidh,Hornpipe,2_4,2,4
Corrie Chollie,March,2_4,2,4
Corriechollies aka Welcome to the Northern Meeting,March,2_4,1,6
Corrienessan's Salute,NA,NA,12,12
"Cosmic Traveller's Fancy, The",Hornpipe,2_4,2,4
Cosmos Cascade,Hornpipe,2_4,4,9
Count Dickie,Jig,6_8,4,5
"Cowal Gathering 1911, The",March,6_8,4,10
Cowal Gathering,March,2_4,4,10
"Crack Of Dawn, The",Jig,6_8,4,8
Cradle Song (Away In A Manger),NA,3_4,1,5
"Crags Of Stirling, The",March,2_4,4,8
"Crags of Tumbledown Mountain, The 2nds",NA,4_4,3,6
"Crags of Tumbledown Mountain, The",March,4_4,3,6
Craig a Bodaich,Strathspey,4_4,2,3
Craig's 'Pipes,Reel, C_ ,0,6
Craig-a-Bodich,Strathspey, C ,2,3
Craig-n-darroch,March,2_4,4,8
Craigdarroch Arms,Jig,6_8,2,4
Craigmillar Castle,March,3_4,2,4
Craigs Jigerdee Jig,Jig,6_8,3,6
Crash And Burn,Hornpipe,2_4,4,8
Crazy Carpet Reel,Reel, C_ ,2,4
Crazy Train,NA,NA,1,1
Creatively Blocked,Reel, C_ ,4,8
"Creel of Turf, The",Jig,6_8,2,4
Crepe Soir,Air,2_4,2,4
"Crippled Stag, The and Failtena Miosg",Slow Air,6_8,4,8
"Crocus Jig, The",Jig,6_8,4,8
Croghan Bologna,Jig,6_8,4,8
Cronan Corrievreccan,NA,6_8,2,4
"Crooked Bawbee, The",Slow Air,6_8,2,4
Crooked Bridge aka An Drochaid Chluiteach,Reel,NA,2,4
Crossing the Minch,Hornpipe,2_4,0,8
Crumbling Stack,Hornpipe,NA,4,9
"Crusaders March, The",March,NA,2,4
"Crusaders', The",March,4_4,1,4
"Crusaders, The",March,4_4,2,4
Culduthel Park,March,12_8,4,8
Cullen Anderson,Slow Air,12_8,3,11
Cullen Bay-Seconds,March,5_4,4,8
Cullen Bay,March,5_4,4,8
Cullen House,March,4_4,3,3
Cumha Chattanach,NA,NA,0,15
"Curlew, The",Jig,6_8,4,9
Cussin' Mary,Reel, C_ ,4,8
Cutting Bracken-Seconds,Slow Air,6_8,1,2
Cutting Bracken,Slow Air,6_8,3,6
Cutty's Wedding,Strathspey,NA,2,3
CWM Rhonda,NA,4_4,0,3
Cwm Rhondda,March,NA,1,3
Cyndi My Palm Reader,Hornpipe,2_4,3,6
"Cyril Dickman, BVM",Reel,NA,2,4
Da Full Rigged Ship,Jig,6_8,3,6
Da New Rigged Ship,Reel,NA,2,4
"Dairy Maid, The",Jig,6_8,4,9
Daisy Daisy,NA,6_8,2,8
Dalnahasaig,Strathspey,NA,0,4
Dalnahassaig,Strathspey, C ,2,2
Dance at Drummossie Muir,Hornpipe,2_4,4,8
"Dancer from Clare, The",Hornpipe,2_4,4,8
Dancing Feet,Reel,2_4,2,2
Dangling Drummer,Reel, C_ ,2,4
Daniel S. Kenny,Hornpipe,2_4,4,8
Danny's Half Dozen,Hornpipe,2_4,4,8
"Daring Young Man On the Flying Trapeze, The",NA,3_4,0,4
"Dark Island, The",March,6_8,1,4
"Dark Isle, The",Slow Air,6_8,0,4
Dark Lowers The Night,NA,3_4,2,4
Daryl Boyle,Hornpipe,2_4,2,5
Dasmesh Highland March,March,4_4,0,4
Davey Patricks Ceilidh,Jig,6_8,4,8
Davey Scriven,NA,2_4,4,8
David Adamson,March,6_8,2,4
David Barnes' Return to Polkemmet,Jig,6_8,4,8
David Crosbie Miller,March,4_4,1,4
David Ross of Rosehall,March,2_4,4,10
David Williams' Slow Air,Slow Air,3_4,2,4
Davy Split Nose,NA,6_8,7,12
Davy's Jube Jube's,Hornpipe,2_4,4,9
Dawning of the Day w seconds,March,4_4,5,8
"Dawning Of, The Day, The",March,4_4,1,4
Day 99,Jig,6_8,4,4
"Day Dream, The",Slow Air,6_8,1,6
Day is Done,March,4_4,0,2
"Day that Thou Gavest, The",Air,3_4,0,4
Dead Reckoning,Reel, C_ ,2,4
Deaf Judges,NA,2_4,2,4
Dean's Digits,Jig,6_8,4,10
Death of a Space Piper,Air,4_4,1,4
"Death of the Chief, The",March,2_4,2,4
Debka Kafitza,NA,2_4,8,17
Deck the Halls,NA, C ,1,2
"Deer Forest, The",Air,6_8,2,4
"Deer Run, The",Strathspey,4_4,2,2
"Deil Amang the Tailors, The",Reel, C_ ,2,4
Delahunty's,Hornpipe,2_4,2,3
Delphic Oracle,Slow Air,4_4,2,4
Denis Murphy's Slide,Jig,12_8,1,2
Depressing,NA,6_8,2,3
Deputy Chief Wingate,NA,2_4,3,6
Dermot O'Rourke,March,4_4,0,5
Desert Storm,Hornpipe,2_4,4,10
Desie's Trip to Mexico,March,6_8,2,4
"Desperate Battle, The",NA,6_8,4,20
"Detroit Highlanders, The",March,2_4,4,10
Dever the Dancer,Jig,9_8,2,2
"Devil Among the Tailors, The",Reel, C_ ,2,4
"Devil in the Kitchen, The",Strathspey,NA,2,4
Devil in the Kitchen,Strathspey,NA,2,4
"Devil's Staircase, The",Reel, C_ ,4,11
Devil's Staircase,Reel,4_4,4,8
Dick Gossip's Reel,Reel,4_4,2,4
Die Heiland is Gebore,NA,6_8,2,4
Ding Dong Merrily on High,NA,2_4,2,3
Dinkys,Reel, C_ ,2,4
Dirty Bee,Reel,NA,6,12
"Dirty Lough, The",Jig,6_8,2,4
Diu Regnare,March,6_8,4,9
Dive Bombing Shitehawks,Jig,6_8,4,16
Dixie,NA,2_4,2,6
Do Mo Chara Maith Blair Murphy,Air,6_8,5,12
Do you Love an Apple,Air,6_8,0,2
Doctor Allan MacDonald,March,2_4,4,15
Doctor Death,Jig,6_8,4,8
Doctor E.G. MacKinnon,March,2_4,4,10
"Dog Sled, The",NA,2_2,4,4
"Dog's Ferry, The",Reel,NA,0,8
Dolina MacKay,Reel,NA,4,8
Don't Want to Miss a Thing,March,4_4,1,28
Donald Blue,March,2_4,2,5
Donald Cameron's Powder Horn,Jig,6_8,4,13
Donald Cameron's Powderhorn,Jig,6_8,4,12
Donald Cameron,March,2_4,6,13
Donald Campbell's Welcome to Glendale,March,6_8,2,4
Donald Dewar's Welcome to San Jose,NA,2_4,4,9
Donald Maclean Of Lewis,March,6_8,4,10
Donald MacLeans Farewell to Oban,March,2_4,5,10
Donald MacLellan of Rothesay,March,2_4,4,9
Donald MacLennan's Exercise,Jig,9_8,6,6
Donald MacLennan's Tuning Phrase,Jig,6_8,4,9
Donald MacLeod,Hornpipe,2_4,4,8
Donald MacPhee,March,9_8,4,9
"Donald Morrison aka Outlaw of Megantic, The",Strathspey, C ,2,4
Donald Ross of Vancouver,Slow Air,6_8,2,4
Donald Willie and His Dog,Jig,9_8,4,4
Donald's Gone To The Wars,March,6_8,2,5
Donella Beaton,Jig,6_8,4,8
Donna Elrick,March,12_8,1,4
Donnybrook Fair,Jig,6_8,2,4
Doodlum Dhu,NA,4_4,4,6
Dora MacLeod,Strathspey,NA,4,6
Doreen Marsh,Hornpipe,2_4,4,8
Dornie Ferry,Strathspey,NA,4,8
Dornoch Links,March,2_4,2,5
Dorrator Bridge,Strathspey, C ,2,6
Double 'G' Walkabout,Hornpipe,2_4,4,8
"Double F Dilema, The",Reel, C_ ,5,10
"Double Rise, The",Jig,6_8,2,4
Doug Boyd's Favourite,Jig,6_8,4,17
Doug Fyfe's Favourite,Reel,NA,2,6
Dougald Gillespie,NA,12_8,1,8
Dougie's Glenfiddich Weekend,Hornpipe,2_4,4,8
Dougie's Tune,March,4_4,2,4
Douglas' March To Teba,March,6_8,4,9
"Doune of Invernochty, The",Strathspey,NA,4,6
Dovecote Park,March,6_8,4,8
Down by the Sally Garden,Slow Air,4_4,0,3
Down for a Brown,Jig,6_8,2,2
Down in Demerara,NA,2_4,1,4
Dr Robert Runcie MC,NA,3_4,2,4
Dr. A.J. Hornpipe,Hornpipe,2_4,2,4
Dr. Brow,Jig,6_8,2,4
Dr. Cameron Stewart,March,4_4,2,4
Dr. MacInnes's Fancy,Hornpipe,2_4,4,9
Dr. MacLeod of Alnwick,March,2_4,4,8
Dr. MacPhail's Reel,Reel, C_ ,1,8
Dr. Robert Runcie MC,NA,3_4,2,4
Dr. Ross's 50th Welcome to the Argyllshire Gathering,March,6_8,4,10
Dr.Einstein (The Cosmic Fiddler),Hornpipe,2_4,2,4
Dream Angus,Slow Air,6_8,2,4
"Dream Valley of Glend Ruel, The",NA,3_4,2,4
"Dream Valley of Glendaruel Harmony, The",March,3_4,2,4
"Dream Valley of Glendaruel, The",March,3_4,2,4
Dreams of a Child,Air,2_4,7,14
Dreams of Old Pa Fogarty,March,2_4,2,4
Drew James MacIntosh,Jig,6_8,4,9
Drew Mathieson,Strathspey, C ,4,4
Drops of Brandy,Jig,9_8,2,3
"Drowning Plains, The",Slow Air,NA,6,6
Drowsey Maggie,NA,2_2,2,3
Drum Major David Breese,March,12_8,0,4
Drum Major IB Sorenson,Hornpipe, C ,4,8
Drum Major John Seton,Reel, C_ ,4,8
Drum Major Megan Peach,NA,3_4,2,4
Drummer Boy,NA,2_4,3,3
"Drumming of the Grouse, The",NA,6_8,2,5
Drummond's Rant,Reel, C_ ,4,4
"Drunken Drummers Who Didn't Show Up, The",Jig,6_8,4,8
Drunken Duncan,March,4_4,2,4
"Drunken Piper, The",March,2_4,3,6
Drunken Sailor,Hornpipe,2_4,2,4
Duan Mairead,NA,3_4,2,5
Dublin to Derry,March,4_4,0,8
"Duchess of Edinburgh, The",March,2_4,4,10
"Duck, The",Jig,6_8,2,4
Ducking and Diving,Reel, C_ ,5,10
Dugald MacColl's Farewell to France,March,2_4,4,9
Duke of Gordon's Birthday,Strathspey, C ,2,3
"Duke Of Roxburgh's Farewell To The Black Mount Forest, The (For Computer)",NA,4_4,4,10
"Duke Of Roxburgh's Farewell To The Black Mount Forest, The (For Smartphone)",NA,4_4,4,10
Dumbartons Drums,March,2_4,2,4
Duncan Johnstone,Hornpipe,2_4,4,9
Duncan McGillivray Chief Steward,March,6_8,4,9
Duncan McInnes,March,2_4,4,8
Duncan The Gauger,Jig,6_8,4,8
Dundee City Police Pipe Band,March,6_8,0,10
Dundee Military Tattoo,March,2_4,4,8
"Dundonnachie Stomp, The",Reel, C_ ,4,4
Dunkirk Gallant Boatman,NA,3_4,4,8
Dunrovin Farm,Jig,6_8,4,12
"Dunsire Forums March, The",March,6_8,4,9
Duntroon,Reel, C_ ,4,8
"Dust Gatherer, The",March,4_4,2,8
"Dòmhnall na Grèine (Donald of the Sun, or Thady you Gander)",Jig,6_8,3,8
E Minor Jig,Jig,6_8,1,4
"Eagles Whistle, The",Air,3_4,2,4
"Earl of Errol, The",March,NA,2,4
Earl of Errol,March,2_4,1,4
Earl of Mansfield's March,March,2_4,3,6
"Earl of Mansfield, The",March,2_4,3,7
East Beach,Jig,6_8,2,4
East House Room Ten,Jig,6_8,4,8
East Wood Cottage,Reel, C_ ,2,2
"Eastern Townships, The",Slow Air,6_8,2,4
"Easy Club Reel, The",Reel, C_ ,2,4
"Eavesdropper, The",Jig,6_8,2,4
Eavesdropper,Jig,6_8,2,4
Ebenezer Cooper,Hornpipe,2_4,4,8
Echo Lake,Slow Air,6_8,2,4
Echoes From Caithness,March,6_8,6,12
Eddie the Penguin,Hornpipe,2_4,2,4
Edinburgh City Police Pipe Band,March,2_4,4,10
"Edinburgh Ladies' Pipe Band, The",March,6_8,6,13
Edith MacPherson's Goat,Strathspey,NA,0,6
"Egg and the Fiddle, The",Reel, C_ ,2,4
Eggman The or Walrus,Hornpipe,2_4,0,4
Eibhli Gheal Chiuin ni Chearbhaill,Slow Air,6_8,2,2
"Eight Men of Moidart, The",Reel, C_ ,4,5
El Alamein,March,6_8,4,8
Electric Chopsticks,Reel,NA,3,6
"Electric Pumpkin, The",Jig,6_8,6,15
Eliza,NA,3_4,2,4
Elizabeth Kelly's Delight,Jig,9_8,2,2
"Elk's Festival, The",Hornpipe,NA,2,4
"Elks Festival, The",Hornpipe, C_ ,2,4
Ellan Vannin,NA,4_4,1,4
Ellen Orr,March,6_8,4,10
Ellis Kelly's Delight,Jig,9_8,2,2
Elspeth Anderson,March,6_8,4,9
Elvis Breaks Down,Jig,6_8,4,8
Emerald Echoes,Air,4_4,2,6
Emily Kate MacLellan,Hornpipe,2_4,4,8
Endearing Young Charms,March,6_8,2,4
Engine Room,NA,4_4,0,7
Equanimity,Slow Air,6_8,2,4
Erchless Castle,March,2_4,2,4
Eric Stein,Hornpipe,2_4,2,6
Erin Far O'er the Sea,March,4_4,2,4
Ernie's Impact,NA,9_8,2,4
Eruption,Reel, C_ ,4,8
Eternal Father Strong To Save aka Navy Hymn,NA,4_4,0,3
"Eviction, The",Jig,6_8,4,8
"Ewe With the Crooked Horn, The",Strathspey, C ,1,7
"Ewie wi' the Crookit Horn, The",Hornpipe, C ,0,11
Exit Plan,March,NA,1,3
"Eyes of Texas, The",March,4_4,2,4
EZ Fingers,Reel,NA,6,9
F-F-F-F-Frustration,Hornpipe,2_4,3,6
Fahey's Return,March,4_4,1,4
"Fair Maid of Barra, The",Slow Air,6_8,2,4
"Fair Swan aka An Eala Bhan, The",Slow Air,6_8,1,4
"Fair Swan, The",March,6_8,5,12
"Fairy Dance, The",Reel, C_ ,0,4
"Fairy Lady of Loch Laerne, The",Slow Air,6_8,1,7
"Fairy Lullaby, The",March,6_8,0,4
Fairy Tale of New York,NA,12_8,2,18
Fairytale of New York,NA,12_8,5,9
"Fallen Hero, The",March,4_4,3,3
Fallen Heroes,Slow Air,6_8,6,13
Fanny Power,Slow Air,6_8,2,4
Farewell to Camraw,Slow Air,NA,3,7
Farewell to Cherbourg,Hornpipe,2_4,4,10
Farewell to Erin,Reel, C_ ,2,4
Farewell to Nigg,March,NA,1,2
Farewell to Nova Scotia,March,4_4,2,4
Farewell to Oklahoma,March,4_4,2,2
Farewell to Sandy,March,6_8,2,4
Farewell to Sorrento,Slow Air,6_8,4,8
Farewell to the Creeks,March,6_8,4,8
Farewell to the Damned,NA,3_4,2,4
Farewell to the Rangers,March,4_4,2,4
Farewell to Twillingate,March, C ,2,4
"Farmer's Daughter, The aka Aberarder Rant, The",Reel,2_2,1,4
Farquhar MacRae,March,2_4,3,6
Fasbinder's Deli,Jig,6_8,4,8
Father John MacMillan of Barra,NA,2_4,4,10
Father O'Flynn,Jig,6_8,2,4
FDNY Honor the Bravest,Air,4_4,2,5
Fear A' Bhata (The Boatman),Slow Air,9_8,1,2
Fear Chul Charn (Culcairn's Strathspey),Strathspey,4_4,2,3
Felicite Stuart,NA,9_8,2,6
Feliz Navidad,NA,NA,2,4
Fernetta Fat Ass Lerwick's Wife,Reel,NA,4,4
"Festival March, The",March,9_8,2,4
"Fiddler's Joy, The",NA,NA,2,6
"Fiddlers Rally, The",Jig,6_8,8,33
Fields of Athenry,March,4_4,2,4
Fighting Irish of Notre Dame,March,4_4,1,5
Finagals Weeping,NA,NA,4,9
"Final Voyage of the INS Dakar, The",Hornpipe,2_4,4,8
Fingal's Weeping ,Slow Air,6_8,2,4
Finlay M. MacRae,Air,6_8,0,4
Finn McCool's Road To Nowhere,Reel, C_ ,2,4
Fiona MacLeod,Reel, C_ ,0,8
Fiona Milne's Jig,Jig,6_8,4,8
Fiona's Farewell,Air,6_8,2,4
Fiona's Jig,Jig,6_8,4,9
Firefighters Lament,NA,4_4,2,5
"First Fifty, The",March,2_4,2,5
"First Noel, The",NA,3_4,0,3
First One Hundred,March,NA,4,8
"First Slip, The",Reel,NA,2,2
Fisherman Song,March,4_4,1,2
"Fittie Boatman, The",Jig,6_8,0,8
"Five Lamps, The",March,6_8,4,10
"Flag of Freedom, The",Air,NA,0,4
"Flaggon, The",Reel,NA,4,8
Flashing Light Syndrome (FLS),Hornpipe,2_4,4,12
Flashman's March,Jig,6_8,4,8
Flee the Glen,Jig,6_8,2,5
Fleshmarket Close,Jig,6_8,2,6
Flett From Flotta Pipeline,March,4_4,2,4
Flett from Flotta,March,4_4,2,4
"Flight from Khazad-Dum, The",Jig,6_8,4,8
"Flight of Fancy, The",Hornpipe,2_4,4,8
Flintstones Theme,NA,4_4,0,2
Flow Gently Sweet Afton,March,3_4,1,18
"Flower of Scotland, The Seconds",NA,6_8,1,4
Flower of Scotland,Slow Air,6_8,0,4
Flowers Of Edinburgh,NA, C ,0,4
Flowers of the Forest,NA,NA,2,4
Fly Like An Eagle,NA,6_8,2,4
Flying Haggis,Reel,NA,2,4
"Flying Scotsman, The",Hornpipe,2_4,4,17
"Foggy Dew, The",March,NA,1,3
Follow My Highland Soldier,March,2_4,2,4
Footering About,Strathspey,NA,2,4
For Ireland I'd Not Tell Her Name,Slow Air,6_8,0,4
For Ireland,Slow Air,6_8,2,4
For No Awa' Tae Bide Awa',Slow Air, C ,0,4
"Forgotten Jig, The",Jig,6_8,2,4
Fort Gallacher,NA,6_8,2,4
"Forty Twa, The",Reel, C ,2,5
Four Green Fields,NA,3_4,0,8
"Fourth Floor, The",Reel,NA,4,9
"Foxhunter Etc., The",Jig,9_8,0,10
"Foxhunter's Jig, The",Jig,9_8,3,5
"Foxhunter, The",Jig,9_8,4,4
"Foxhunters Jig, The",Jig,9_8,3,5
Fraher's Jig,Jig,6_8,0,8
Francis Morton,Reel, C ,0,11
Freebird,NA,4_4,2,17
French Cancan,NA,2_4,1,8
"Frenzy, The",Jig,6_8,4,9
Frer a Jacques,NA,2_4,0,3
"Friar's Britches, The",Jig,6_8,0,10
"Friendly Piper, The",NA,9_8,4,9
"Frieze Breeches, The",Jig,6_8,0,10
Frog's Eggs and Goldfish,Hornpipe,2_4,2,5
"Front of the Starts, The",Air,NA,4,4
Front Rank Hornpipe,Hornpipe,2_4,4,8
Frozen In Motion,Reel, C_ ,4,8
"Fuddler, The",Jig,6_8,2,4
Full Force,Hornpipe,2_4,2,6
Full Power,Jig,6_8,2,4
"Full Set, The",Reel, C ,2,4
Full Throttle,Reel, C_ ,2,3
Fulton Eyes,Hornpipe,2_4,4,8
"Furry Chanter, The",Hornpipe,2_4,2,4
Furry Dance,NA,2_4,1,4
Fury in the Cab,Hornpipe,2_4,2,4
Fàg a Phiob Bhochd,Hornpipe,2_4,2,4
"G-Factor, The",Hornpipe,2_4,4,8
"Gael, The (Last of the Mohican's Theme)",NA,6_8,2,5
"Gaelforce March, The",March,6_8,2,4
Galician Jig,Jig,6_8,4,8
Gallawa' Hills,March,4_4,2,4
Gallipoli,Slow Air,4_4,2,4
"Gallowglass, The",Jig,6_8,2,4
"Galtee Rangers, The",Reel, C_ ,3,6
"Galway Bay, The",Reel, C_ ,2,7
Galway Bay,Air,NA,1,2
"Galway Shawl, The",Air,4_4,1,2
"Gander in the Pratie Hole, The",Jig,6_8,0,4
"Gap of Dunloe, The",March,2_4,2,4
"Garb of Old Gaul, The",March,2_4,2,4
Garden Of Skye,March,4_4,1,4
"Gardens-of-Skye, The",March,4_4,2,4
Garnethill,Hornpipe,NA,4,8
Garrisdale,March,3_4,2,4
Garry Owen 1,March,6_8,2,4
Garry Owen 2,March,6_8,2,4
Garry Owen 3,March,6_8,2,6
Garry Owen 4,March,6_8,2,4
Garry Owen 5,March,6_8,2,4
Garry Owen 6,March,6_8,1,6
Garryowen,March,6_8,2,4
Gary Cheddy's Jig,Jig,6_8,4,10
Gary Denham,March,3_4,2,6
Gary The Bull'er,Hornpipe,2_4,4,8
Gary's Rock Shrine,Hornpipe,2_4,2,4
Gary's Wee Reel,Reel, C_ ,2,2
"Gathering Hornpipe, The",Hornpipe,2_4,4,8
"Gathering, The",NA,6_8,2,4
"Gay Gordons, The",NA,2_4,2,5
"Geese in the Bog, The",Jig,6_8,4,8
General Ben-Nun Crossing The River Jordan,March,2_4,4,9
General Douglas MacArthur,March,6_8,4,10
Gensna,Slow Air,NA,1,7
George Henry Gillies,March,4_4,4,8
George Johnston,March,6_8,4,4
Gerbil In The Bubble,Jig,6_8,4,8
"Geritol Kid, The",March,12_8,1,4
Getting The Jist,Jig,6_8,4,8
Ghillie Calum,NA, C ,5,8
Ghost Riders in the Sky,NA,2_4,0,15
Gilbert Lightfoot,Slow Air,NA,4,8
Gilligan's Singing Pipes,Reel, C_ ,4,8
Gin A 'Were A Barons Heir,March,6_8,2,4
"Ginger Jig, The",Jig,6_8,2,4
Gingerhog's,Jig,9_8,2,2
"Girl From Dungannon Hornpipe, The",Hornpipe,6_8,2,5
"Girl From Dungannon Jig, The",Jig,6_8,2,5
"Girl From Dungannon, The",Air,3_4,2,6
Give Me Your Hand,March,3_4,0,12
Give my Regards to Broadway,NA,4_4,0,5
"Gladiator, The",March,2_4,4,10
"Glasgow Chinese Take-Away, The",March,2_4,4,10
"Glasgow City Bobbies, The",Jig,6_8,4,12
Glasgow City Police Pipers Pipeline,Jig,6_8,4,8
"Glasgow City Police Pipers, The",Jig,6_8,4,8
Glasgow Night in Hamburg,March,12_8,4,8
Glasgow Week in Hamburg,March,12_8,4,8
Glebe Park,March,2_4,4,8
Glen Caladh Castle RSPBA,March,2_4,4,8
Glen Caladh Castle,March,2_4,4,8
Glen Sanda,March,12_8,1,16
Glenariff,March,9_8,2,5
Glendaruel Highlanders,March,6_8,2,5
Glengarry's Lament,NA,3_4,10,10
Glenmorag,March,2_4,4,8
Gloomy Winter,Air, C ,1,4
Glory to Hong Kong,NA,4_4,1,6
Go Tell It On The Mountain,NA,4_4,2,4
"Goat Herd &, The Shepherd, The",Jig,6_8,4,9
Goat Hill (Tom an t-Searraich),NA,2_4,2,4
"Goatherd and the Shepherd, The",Jig,6_8,4,8
God Bless America (Seconds),March,NA,0,5
God Bless America,Air,2_4,0,5
God Rest Ye Merry Gentlemen,NA, C ,0,5
God Save Ireland,March,4_4,2,4
God Save the Queen,NA,3_4,0,3
Going Home,Slow Air,6_8,1,6
Going Somewhere,Jig,6_8,2,4
"Gold Ring, The",Jig,6_8,6,13
"Golden Gate, The",NA,NA,5,15
Golden Penny Jig,Jig,6_8,4,8
Golden Wedding Anniversary of H.M,March,6_8,4,8
"Golden Wreath, The",Hornpipe, C_ ,2,4
Good Drying,Reel,NA,4,9
Good King Wencelas,NA,NA,0,3
